sno	Title	Headline	ShortDesc	Category	Location	Country	US	Distance	Count_update	Count_comment	Count_funder	Count_photo	Amount_goal	Amount_Raised	Amount_currency	Ratio	Time_Left	Current	Type	Start_year	Start_month	Start_day	End_year	End_month	End_day	Duration	Min_perk	No_min_perk	Max_perk	No_max_perk	Median_perk	No_med_perk	Total_perk	FB_like	FB_talking	Tweet_follow	Tweet_status	Youtube_avg_duration	Youtube_avg_view_count	Youtube_avg_rating
10	rain-drop	Rain Drop	Tell Your Story ... Become a Legend	Technology	Winter Park, Florida, United States	United States	0	0	0	17	34		10000	1376	SD 	0.1376	0	1	 Flexible Funding 	2011	11	29	2012	1	15	4060800	1	1	10000	0	60	0	6	0	0	0	0	0	0	0
11	switchbox-flexible-rugged-gearing-for-robotics	Switchbox: Flexible, rugged gearing for robotics	A rugged and simple gearbox with 2 useful ratios and slots for easy mounting. Powered by 1 or 2 common FIRST robotics 500 series motors	Technology	Austin, Texas, United States	United States	0	0	1	2	12		3000	1374	SD 	0.458	0	1	 Flexible Funding 	2012	12	21	2013	1	23	2851200	5	0	300	1	17	4	7	0	0	0	0	0	0	0
12	arduino-compatible-wifi-shield-with-multiple-functions	Arduino compatible WiFi Shield with multiple functions	Connecting your Arduino to a Wifi network have never been easier.	Technology	Tomelilla, Sweden	Sweden	0	0	3	7	27		4500	1372	SD 	0.3048888889	0	1	 Fixed Funding 	2013	10	17	2013	12	1	3888000	10	1	575	0	59.5	0	6	0	0	0	0	175.3333333333	352.6666666667	2.6666666667
13	crystal-guard-zero-chemical-that-cleans-turns-car-surface-into-crystal-glass		Crystal Guard Zero is a revolutio0ry chemical invented in Japan that cleans and turns any surfaces into crystal glass. Ideal for cars, bikes, gadgets, and etc.	Technology	Mountain View, California, United States	United States	0	0	3	27	26		25000	1371	SD 	0.05484	0	1	 Flexible Funding 	2013	8	5	2013	9	9	3024000	27	7	5000	0	150	2	11	0	0	0	0	0	0	0
14	firmbox-0s-virtualization	Firmbox: 0S   Virtualization	Stores multiple terabytes safe, runs your virtual servers at home and is accessible from everywhere!	Technology	Graz, Austria	Austria	0	0	8	6	14	11	350000	1370	SD 	0.0039142857	0	1	 Flexible Funding 	2013	2	4	2013	3	21	3888000	1	6	120000	0	600	0	9	0	0	0	0	1309.4	10432.95	4.312512855
15	first-robotics-0tio0ls	FIRST Robotics 0tio0ls	We are a rookie team in the FIRST robotics competitions heading for 0tio0ls. We have 3 weeks to raise the funds to go.	Technology	Midvale, Utah, United States	United States	0	0	0	2	16		25000	1368	SD 	0.05472	0	1	 Verified Nonprofit ,  Flexible Funding 	2013	4	3	2013	4	24	1814400	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	looqi-the-new-real-time-gps-tracker	Looqi - The new real-time GPS tracker	Looqi - The new revolutio0ry real-time gps tracker for children. An easily wearable bracelet combined with an extremely user friendly app.	Technology	Utrecht, Netherlands	Netherlands	0	0	0	19	15		30000	1366	UR 	0.0455333333	4	1	 Flexible Funding 	2013	10	17	2013	12	8	4492800	2	2	2	2	2	2	9	0	0	0	0	0	0	0
17	cancelled--106	Cancelled	Cancelled	Technology	London, United Kingdom	United Kingdom	0	0	3	30	44		150000	1363	SD 	0.0090866667	0	1	 Fixed Funding 	2013	10	7	2013	11	16	3456000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	keyp-in-touch	KEYP in-touch	We developed working prototypes of a revolutio0ry and innovative key finder, and we need your help to produce it.	Technology	Lucerne, Switzerland	Switzerland	0	0	0	5	13	13	500000	1362	SD 	0.002724	0	1	 Flexible Funding 	2013	1	29	2013	3	31	5270400	1	1	20000	0	175	0	8	94	0	0	0	0	0	0
19	cakeit-app-bring-your-cake-to-life	CakeIt app - bring your cake to life!	Design or customize a cake, add augmented reality, buy it 0tionwide and share your cake design...all with the CakeIt app!	Technology	San Francisco, California, United States	United States	0	0	3	6	8	4	30000	1360	SD 	0.0453333333	39	1	 Flexible Funding 	2013	11	27	2014	1	12	3974400	1	0	225	2	17.5	0	14	496	128	0	0	96.3333333333	173.6666666667	5
20	move-over-zuckerberg-let-s-build-the-sportsman-s-social-network		HEADS OR SCALES IS THE NOT-SO-SOCIAL ONLINE EXPERIENCE FOR TOTAL OUTDOORSMEN!	Technology	Tunkhannock, Pennsylvania, United States	United States	0	0	10	28	27	10	70000	1360	SD 	0.0194285714	0	1	 Flexible Funding 	2012	9	5	2012	12	5	7862400	5	3	10000	0	175	0	10	2394	1	0	0	106.6	139.4	3
21	learn-a-second-language-by-yourself-on-your-device	Learn a second language by yourself on your device	Fantastic computer assisted language learning system that help users learning a second language on their own device(s) at their own pace, at their own schedule.	Technology	Budapest, Hungary	Hungary	0	0	0	4	9	3	12000	1360	SD 	0.1133333333	0	1	 Flexible Funding 	2013	5	29	2013	6	28	2592000	5	0	500	0	65	0	6	0	0	0	0	0	0	0
22	student-starcraft-artificial-intelligence-tour0ment	Student StarCraft Artificial Intelligence Tour0ment	Tour0ment of StarCraft playing AI agents programmed in C++ by students worldwide. Taking education, gaming, and AI research to new levels.	Technology	Bratislava, Slovakia	Slovakia	0	0	2	6	3	2	3000	1353	SD 	0.451	0	1	 Flexible Funding 	2012	1	18	2012	3	25	5788800	5	1	1000	0	137.5	0	4	0	0	0	0	102	753	5
23	patented-more-life-like-cpr-manikin-will-save-lives	Patented More Life-Like CPR Manikin Will Save Lives	"""Charlie"" is a revolutio0ry new CPR manikin that will dramatically improve the realism, effectiveness, and recall of CPR training."	Technology	Tucson, Arizo0, United States	United States	0	0	0	3	8		50000	1350	SD 	0.027	18	1	 Flexible Funding 	2013	10	28	2013	12	22	4752000	10	0	1000	0	75	0	6	20	0	0	0	0	0	0
24	commerce-revolution	Commerce Revolution	Desc	Technology	Pensacola, Florida, United States	United States	0	0	2	3	7		75000	1350	SD 	0.018	0	1	 Flexible Funding 	2012	4	12	2012	5	27	3888000	5	0	1000	0	150	0	5	0	0	0	0	0	0	0
25	clok-reinventing-the-way-we-make-use-of-time	Clok - Reinventing the way we make use of time	Clok is a social platform where you share your upcoming activities. Going to the gym, cinema or café? Clok it and let your friends know.	Technology	Copenhagen, Denmark	Denmark	0	0	5	4	30	4	3000	1345	SD 	0.4483333333	0	1	 Flexible Funding 	2013	4	1	2013	5	1	2592000	2	1	1500	0	50	9	11	0	0	0	0	0	0	0
26	skullspace-fundraising	SkullSpace Fundraising	SkullSpace needs to move! Please contribute to helping us get our new space!	Technology	Winnipeg, Ca0da	Ca0da	0	0	0	11	16		5000	1341	SD 	0.2682	0	1	 Flexible Funding 	2012	10	25	2012	11	22	2419200	10	2	1000	0	100	2	5	0	0	0	0	0	0	0
27	food-cowboy-technology-to-fight-hunger-and-food-waste	Food Cowboy: Technology to Fight Hunger and Food Waste	Technology to help truckers and food companies route fresh produce to charities instead of to landfills	Technology	Washington, District of Columbia, United States	United States	0	0	0	6	13	3	25000	1338	SD 	0.05352	0	1	 Flexible Funding 	2012	8	31	2012	10	15	3888000	15	0	399	0	69.5	0	10	0	0	0	0	565.4	1688548.3	4.29298058
28	merri-readers-theater-app	MERRI Readers Theater App	It makes it easy   fun to read out loud together, assigns parts by reading levels, sends invites, provides pronunciation help   prompts you when it’s your turn.	Technology	Fairfield, Iowa, United States	United States	0	0	0	3	18		27000	1336	SD 	0.0494814815	16	1	 Fixed Funding 	2013	11	22	2013	12	20	2419200	1	3	1500	0	23	0	11	4	0	0	0	191	10	0
29	akimbo-the-free-to-dream-project	Akimbo: The Free to Dream Project	Akimbo aims to create custom digital professio0l development communities for nonprofits and social enterprises working to empower disabled populations.	Technology	New York, New York, United States	United States	0	0	0	8	24	3	25000	1395	SD 	0.0558	34	1	 Flexible Funding 	2013	11	8	2014	1	7	5184000	25	2	2500	0	67.5	0	8	232	8	0	0	0	0	0
30	qollector	Qollector	Qollector : Stuff you own - shared with friends you know!	Technology	Los Angeles, California, United States	United States	0	0	5	7	28	5	1000	1321	SD 	1.321	0	1	 Flexible Funding 	2013	9	3	2013	10	3	2592000	1	12	100	8	40	0	5	0	0	0	0	0	0	0
31	film-laracon	Film Laracon	Laracon is taking place in Washington D.C. Let's film it!	Technology	Washington, District of Columbia, United States	United States	0	0	1	11	64		560	1321	SD 	2.3589285714	0	1	 Fixed Funding 	2013	2	6	2013	2	13	604800	4	19	20	43	12	0	2	0	0	0	0	0	0	0
32	make-the-ipod-touch-into-a-phone	Make The iPod Touch into a PHONE	Preview Launch - The MorphCase adds a speaker and microphone so you can call with a VoIP App just like the iPhone using wi-fi.	Technology	Greenville, North Caroli0, United States	United States	0	0	1	0	31		100000	1320	SD 	0.0132	0	1	 Flexible Funding 	2012	9	3	2012	10	3	2592000	30	23	170	1	65	4	5	0	0	0	0	0	0	0
33	the-story-of-cerise	The Story Of Cerise	We Hand Build Beautiful Computers For Photographers, Videographers   Multimedia Power Users	Technology	Owings Mills, Maryland, United States	United States	0	0	1	1	10	2	50000	1320	SD 	0.0264	0	1	 Flexible Funding 	2013	7	31	2013	8	30	2592000	7	1	9799	0	2249	0	12	0	0	0	0	0	0	0
34	hope-for-kids-with-autism-through-mobile-technology-behavior-imaging		Changing the way people observe, assess, and treat behavioral disorders.	Technology	Boise, Idaho, United States	United States	0	0	14	10	16	21	20000	1316	SD 	0.0658	0	1	 Flexible Funding 	2013	4	2	2013	5	28	4838400	5	3	1000	0	100	1	7	48	2	0	0	0	0	0
35	qzimation-animation-puppetry-hybrid	QZimation Animation Puppetry Hybrid.	An exciting new way to perform animation! A game changer for the entertainment industry.Initial development: Phase 1	Technology	Palm Springs, California, United States	United States	0	0	13	26	32	3	1000	1315	SD 	1.315	0	1	 Flexible Funding 	2012	4	23	2012	5	23	2592000	5	2	10000	0	175	0	10	44	0	0	0	0	0	0
36	rory	Rory	A concept that e0bles you to safely monitor, capture and share pictures and video of your kids in the car... and elsewhere with ease.	Technology	San Antonio, Texas, United States	United States	0	0	10	14	10	6	25000	1310	SD 	0.0524	0	1	 Flexible Funding 	2012	8	1	2012	9	15	3888000	5	0	500	1	40	0	6	31	0	0	0	0	0	0
37	the-sipsmart-network	The SipSmart Network	Empowering the next generation of social drinkers	Technology	Amherst, New York, United States	United States	0	0	5	5	5	10	50000	1310	SD 	0.0262	0	1	 Flexible Funding 	2011	12	20	2012	2	3	3888000	10	1	10000	0	250	0	11	0	0	0	0	144.6666666667	3220865.5	1.6589334
38	super-osd-lite	Super OSD Lite	An open source on screen display - Production run	Technology	Basingstoke, United Kingdom	United Kingdom	0	0	0	12	22		850	1310	SD 	1.5411764706	0	1	 Flexible Funding 	2011	1	25	2011	3	31	5616000	10	2	45	10	35	8	3	0	0	0	0	0	0	0
39	gnow-it-a-news-app-done-right	Gnow.it - A News App Done Right	"Meet Gnow.it (pronounced ""know it""), a news reading app that learns what you like to bring you the news you truly care about."	Technology	Ottawa, Ontario, Ca0da	Ca0da	0	0	3	9	33		10000	1308	SD 	0.1308	0	1	 Flexible Funding 	2013	7	15	2013	8	25	3542400	1	2	5000	0	75	0	11	0	0	0	0	0	0	0
40	gymplay	GymPlay	Lose fat, gain strength, and improve endurance, with a specific 90-day plan for the gym, kitchen, and office.  Taking the guesswork out of fitness.	Technology	Columbus, Ohio, United States	United States	0	0	8	9	24	6	10000	1306	SD 	0.1306	0	1	 Flexible Funding 	2013	5	20	2013	6	19	2592000	5	10	1000	0	75	2	9	359	32	0	0	0	0	0
41	vixplug-control-your-home-wirelessly-from-your-tablet-or-smartphone		Plug any home appliance into the VixPlug power strip and control it from the comfort of your couch, using an interface you design.	Technology	Wilmington, Delaware, United States	United States	0	0	0	23	22	12	50000	1306	SD 	0.02612	0	1	 Flexible Funding 	2013	9	16	2013	11	15	5184000	5	5	310	0	89	8	7	0	0	0	0	0	0	0
42	bv-mobile-2-0	BV Mobile 2.0	We've built an awesome platform to provide mobile apps for FREE and we want to make it better so we can provide this opportunity to everyone!	Technology	Atlanta, Georgia, United States	United States	0	0	0	4	29		10000	1305	SD 	0.1305	0	1	 Flexible Funding 	2013	8	18	2013	10	2	3888000	10	7	5000	0	125	3	7	0	0	0	0	0	0	0
43	autonomously-ping-pong-playing-robot	Autonomously Ping-pong Playing Robot	This robot supplements human as partner to play ping-pong game	Technology	Edison, New Jersey, United States	United States	0	0	0	1	7		10000	1301	SD 	0.1301	0	1	 Flexible Funding 	2013	7	22	2013	8	21	2592000	25	0	500	1	100	1	5	0	0	0	0	0	0	0
44	everwall	Everwall	Everwall:  Social Media App, Global Art Project   Pillar of Free Speech	Technology	Melbourne, Australia	Australia	0	0	0	6	5	1	120000	1300	SD 	0.0108333333	0	1	 Fixed Funding 	2013	9	22	2013	11	6	3888000	5	0	1000	1	50	2	7	0	0	0	0	0	0	0
45	remgear--2	RemGear	Secure and fully customizable Remote Support, Administration, Presentation and E-Learning solution in Delphi	Technology	Schwalbach/Ts, Germany	Germany	0	0	6	10	3		90000	1299	UR 	0.0144333333	9	1	 Fixed Funding 	2013	11	10	2013	12	13	2851200	2	1	2	1	2	1	1	0	0	0	0	0	0	0
46	prisecu-perso0l-gps-tracker	PriSecu - Perso0l GPS Tracker	PriSecu – Mini Private Security Device with Powerful GPS Tracking Features. Track with Mobile Apps or Online server.	Technology	Kuala Lumpur, Malaysia	Malaysia	0	0	26	33	25	9	30000	1297	SD 	0.0432333333	0	1	 Flexible Funding 	2013	9	4	2013	10	31	4924800	1	6	3999	0	71.5	0	8	578	0	0	0	0	0	0
47	xentry-transform-your-spare-smartphone-into-a-smart-door		Reuse your spare smartphone to stream live audio/video over your WiFi so that you can communicate with visitors at your door.	Technology	San Diego, California, United States	United States	0	0	8	24	21	45	200000	1296	SD 	0.00648	0	1	 Fixed Funding 	2013	6	24	2013	8	3	3456000	10	0	55	1	55	1	4	69	0	0	0	0	0	0
48	udj	UDJ	UDJ lets you and your friends control the music from your smartphones.	Technology	Urba0, Illinois, United States	United States	0	0	0	17	39	10	5500	1296	SD 	0.2356363636	0	1	 Flexible Funding 	2012	6	12	2012	7	12	2592000	5	4	1000	0	62.5	0	4	292	0	0	0	163	599.3333333333	3.3333333333
49	carsurfing-com-is-going-mainstream-in-2013	Carsurfing.com is going mainstream in 2013 !!	**Get Involved!!** Carsurfing Version2.0 is going to be a super awesome! Please help us get it off the ground faster and into everyone's hands.	Technology	Vancouver, British Columbia, Ca0da	Ca0da	0	0	0	11	22	7	1000	1296	AD 	1.296	0	1	 Flexible Funding 	2012	12	25	2013	1	8	1209600	5	2	10000	0	75	0	10	0	0	0	0	76	3855	3.9411764
50	kathryn-the-grape-s-piece-of-love-ripples-peace-worldwide		We are building an interactive mobile app to empower children now and change the future.	Technology	San Diego, California, United States	United States	0	0	1	3	26	20	17000	1295	SD 	0.0761764706	0	1	 Flexible Funding 	2013	2	11	2013	3	27	3801600	1	1	5000	0	122.5	0	12	5982	227	0	0	210	261.5	5
51	ditto-3d-printer	Ditto 3D Printer	Ditto is an user-friendly 3D printer that combines affordability and performance.	Technology	Vancouver, British Columbia, Ca0da	Ca0da	0	0	2	12	17	2	10000	1290	SD 	0.129	0	1	 Flexible Funding 	2012	7	19	2012	8	23	3024000	5	6	1599	0	55	0	11	0	0	0	0	91.8	516.6	5
52	stack-the-stackable-iphone-charger	Stack-The Stackable iPhone Charger	No more USB ports? No problem! Not with Stack, the worlds first Stackable iPhone Charger!	Technology	Midland, Texas, United States	United States	0	0	0	11	22		5000	1285	SD 	0.257	0	1	 Fixed Funding 	2013	10	21	2013	11	20	2592000	1	0	650	1	30	0	8	0	0	0	0	0	0	0
53	innovative-urine-sensor-for-diapers	INNOVATIVE URINE SENSOR FOR DIAPERS	Humidity sensor for diapers designed for children with enuresis, babies, elderly and dependent people.	Technology	Barcelo0, Spain	Spain	0	0	6	21	32		20400	1276	UR 	0.0625490196	0	1	 Flexible Funding 	2013	8	15	2013	11	30	9244800	2	3	2	3	2	3	10	473	23	0	0	165.1111111111	167.5555555556	2.2222222222
54	smart-energy-switch-prototype	Smart Energy Switch prototype	Build a Smart Energy Switch prototype (SES), show investors the SES, demonstrate its action and validate public interest distributed energy generation option	Technology	Berkeley, United States	United States	0	0	2	13	18	1	75000	1275	SD 	0.017	0	1	 Fixed Funding 	2012	5	29	2012	6	28	2592000	1	0	25	8	1	0	4	0	0	0	0	0	0	0
55	thinkity-split-connect-our-thoughts	Thinkity Split - Connect Our Thoughts		Technology	California, United States	United States	0	0	3	7	14	2	76000	1275	SD 	0.0167763158	0	1	 Flexible Funding 	2013	6	1	2013	7	13	3628800	10	3	7500	0	200	0	9	0	0	0	0	0	0	0
56	daily-timer	Daily Timer	Timer that counts down in days.  Used as a reminder to take medications/birth control or change AC filters for cleaner air. 1-365 day countdown.	Technology	Orlando, Florida, United States	United States	0	0	5	10	5	1	30000	1275	SD 	0.0425	0	1	 Flexible Funding 	2013	2	25	2013	4	21	4752000	10	0	4000	0	350	0	8	0	0	0	0	0	0	0
57	code-for-the-web-linked-data-and-web-payments	Code for the Web - Linked Data and Web Payments	Web developers: Fund world-class students to build Web Payments and Linked Data publishing tools for the next generation Web.	Technology	Blacksburg, Virginia, United States	United States	0	0	0	0	9		5500	1275	SD 	0.2318181818	0	1	 Fixed Funding 	2013	5	17	2013	6	7	1814400	10	1	1000	1	75	1	7	0	0	0	0	0	0	0
58	whomping-willow-trebuchet	Whomping Willow Trebuchet	Help high school students compete in a 0tio0l engineering competition	Technology	Chapel Hill, North Caroli0, United States	United States	0	0	7	24	24		2500	1270	SD 	0.508	0	1	 Flexible Funding 	2012	7	15	2012	10	9	7430400	25	1	50	4	37.5	0	2	0	0	0	0	0	0	0
59	--16799	Untitled Draft Project		Technology			0	0	0	9	21		500000	1270	UR 	0.00254	0	1	 Flexible Funding 	2013	5	12	2013	6	22	3542400	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	robots-robots-robots	Robots! Robots! Robots!	Help us save the amazing Hillsboro high school FTC robotics program.	Technology	Hillsboro, Oregon, United States	United States	0	0	0	3	10		2000	1268	SD 	0.634	0	1	 Flexible Funding 	2013	8	14	2013	9	30	4060800	1	1	500	2	60	0	4	0	0	0	0	0	0	0
61	when-i-crave	When I Crave	Help us fund the first world-wide food and restaurant website along with a mobile application that unites all the food you crave within a single search engine.	Technology	Atlanta, Georgia, United States	United States	0	0	19	3	16	9	10000	1266	SD 	0.1266	0	1	 Flexible Funding 	2013	6	14	2013	7	31	4060800	1	0	750	1	35	1	7	0	0	0	0	198.5	614261	4.1723828
62	bulletproof-backpack	Bulletproof Backpack	We are using Carbon 0no Tube Technology to enhance ballistic materials like Kevlar. Providing a 40% increase in performance.	Technology	Miami, Florida, United States	United States	0	0	2	11	21	2	15000	1266	SD 	0.0844	0	1	 Flexible Funding 	2013	6	10	2013	7	10	2592000	5	1	10000	0	97.5	0	16	0	0	0	0	147	328	5
63	cancer-research-supercomputer	Cancer Research Supercomputer	A purpose built computer meant to do0te its processing power towards medical research to help scientists find a cure for cancer.	Technology	Livonia, Michigan, United States	United States	0	0	0	34	30	1	2000	1265	SD 	0.6325	0	1	 Flexible Funding 	2012	10	30	2012	11	14	1296000	10	2	100	2	25	1	9	0	0	0	0	216	530.5	5
64	montaneus-the-first-collaborative-world-market-index	Montaneus: The First Collaborative World Market  Index	Montaneus.com: A more transparent future for Businesses.	Technology	Not from the Silicon Valley, California, United States	United States	0	0	1	5	32		100000	1260	SD 	0.0126	7	1	 Flexible Funding 	2013	10	12	2013	12	11	5184000	10	0	249	0	29	31	3	0	0	0	0	0	0	0
65	bringing-light-and-clean-water-to-sierra-leone	Bringing Light and Clean Water to Sierra Leone	College students bringing sustai0ble solar lighting and perso0l clean water devices to schools and villages in Sierra Leone. Transforming lives on both sides!	Technology	Elgin, United States	United States	0	0	1	4	13	8	15000	1260	SD 	0.084	0	1	 Verified Nonprofit ,  Flexible Funding 	2013	1	23	2013	3	4	3456000	20	3	2750	0	100	2	5	0	0	0	0	0	0	0
66	support-icarus-scientists-at-interstellar-conference	Support Icarus Scientists at Interstellar Conference	20 volunteer physicists and engineers from all over the world want to attend the 100YSS Conference and present our design progress on the Icarus spacecraft.	Technology	Houston, Texas, United States	United States	0	0	3	3	7		5000	1255	SD 	0.251	0	1	 Flexible Funding 	2011	8	8	2011	9	30	4579200	5	0	5000	0	75	0	8	0	0	0	0	0	0	0
67	powerful-motorized-inline-skates-motorblades	POWERFUL MOTORIZED INLINE SKATES, MOTORBLADES	GREEN TECHNOLOGY THAT WILL BLOW YOUR SOCKS OFF.....for ELECTRIC VEHICLES, WIND TURBINES   MORE.	Technology	Salt Lake City, Utah, United States	United States	0	0	1	12	4	12	147000	1254	SD 	0.0085306122	0	1	 Fixed Funding 	2012	10	1	2012	11	30	5184000	5	1	2999	0	62.5	0	8	0	0	0	0	554.5833333333	4368.5	1.646147825
68	zoompesa-the-money-transfer-service-with-a-heart	ZOOMPesa: The money transfer service with a heart.	ZOOMPesa: A mobile or online money transfer service that LOWERS FEES and GIVES BACK.	Technology	Toronto, Ontario, Ca0da	Ca0da	0	0	0	6	21	7	75000	1300	SD 	0.0173333333	11	1	 Flexible Funding 	2013	10	16	2013	12	15	5184000	25	1	10000	0	100	8	5	0	0	0	0	1351.0714285714	300035.142857143	4.2337924714
69	a-month-of-apache-tapestry-5	A month of Apache Tapestry 5	Help Thiago H. de Paula Figueiredo work a whole month just in Apache Tapestry 5, fixing bugs, implementing new features and improving the documentation.	Technology	Belo Horizonte, Brazil	Brazil	0	0	0	3	13		4500	2650	SD 	0.5888888889	5	1	 Fixed Funding 	2013	11	25	2013	12	9	1209600	20	2	700	1	160	0	6	0	0	0	0	0	0	0
70	autismsees-launches-ipresentwell	AutismSees Launches iPresentWell	Launching the first ever public speaking iOS application that will utilize Speech to Text software, the iPad camera, and a virtual audience	Technology	Boston, Massachusetts, United States	United States	0	0	0	13	21		3500	1246	SD 	0.356	0	1	 Flexible Funding 	2013	4	4	2013	6	3	5184000	15	7	1000	0	100	4	3	0	0	0	0	0	0	0
71	help-ivi-stop-your-high-cable-tv-bill	Help ivi Stop Your High Cable TV Bill	Would you like to pay under $10/mo for basic cable, watch everything online on any device, and pick the channels you want to pay for? Help us revolutionize TV.	Technology	Seattle, Washington, United States	United States	0	0	16	33	31		20000	1245	SD 	0.06225	0	1	 Flexible Funding 	2011	9	13	2012	1	26	11664000	5	2	5000	0	100	4	9	0	0	0	0	0	0	0
72	youvi-measure-the-sun		YOUVI is a pluggable Ultra Violet (UV) radiation detector for iOS and Android devices to alert you and your family from harmful UV radiation.	Technology	Ulm, Germany	Germany	0	0	1	5	23		55000	1933	SD 	0.0351454545	33	1	 Fixed Funding 	2013	12	1	2014	1	6	3110400	5	2	999	0	49	2	7	0	0	0	0	0	0	0
73	bridge--2	Bridge	Best of both worlds; computer gaming in your living room	Technology	Quebec, Quebec, Ca0da	Ca0da	0	0	0	7	12	5	550000	1240	SD 	0.0022545455	0	1	 Fixed Funding 	2013	6	22	2013	8	17	4838400	10	0	5000	0	120	8	9	44	0	0	0	0	0	0
74	limitless-led-2-4ghz-wireless-remote-light-bulbs-for-iphone-and-android		Wireless remote controlled LED light bulbs, replaces any standard light bulb. For use with iPhone and Android. Smarter Cheaper Greener!	Technology	Los Angeles, California, United States	United States	0	0	0	6	9	16	294000	1239	SD 	0.0042142857	0	1	 Fixed Funding 	2012	9	27	2012	11	5	3369600	10	1	9950	0	182	0	12	0	0	0	0	62.5	1490.25	5
